2017-08-16 16:50:04 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID ca4d9197 (outbound) of Remoting connection 4eaffc57 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:53:49 INFO  xnio:93 - XNIO version 3.3.4.Final
2017-08-16 16:53:49 INFO  nio:55 - XNIO NIO Implementation Version 3.3.4.Final
2017-08-16 16:53:49 INFO  remoting:73 - JBoss Remoting version 4.0.18.Final
2017-08-16 16:53:50 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:53:50 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@29113351, receiver=Remoting connection EJB receiver [connection=Remoting connection <7cf29f60>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID b16cb168 (outbound) of Remoting connection 2e53a253 to localhost/127.0.0.1:8080
2017-08-16 16:53:50 INFO  client:45 - JBoss EJB Client version 2.1.4.Final
2017-08-16 16:55:10 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:55:10 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@1a9c7202, receiver=Remoting connection EJB receiver [connection=Remoting connection <281758db>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID 9d5101ea (outbound) of Remoting connection 5e285573 to localhost/127.0.0.1:8080
2017-08-16 16:57:29 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID 9d5101ea (outbound) of Remoting connection 5e285573 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:57:29 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID b16cb168 (outbound) of Remoting connection 2e53a253 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 17:00:51 INFO  xnio:93 - XNIO version 3.3.4.Final
